subject,subject_type,subject_role,relation,object,object_type,object_role,sentence,source_url,strategy
Agassi,PERSON,Player,won,Wimbledon Championships,ORG,Tournament,"Following his Wimbledon loss, Nadal won 16 consecutive matches and three consecutive tournaments, the Swedish Open, Stuttgart Open, and the Canada Masters, defeating Agassi in the final of the latter to win the first hardcourt title of his career and to bring his ranking to No. 2 on 25 July 2005, where he remained for the next three years behind Roger Federer.[36]",https://en.wikipedia.org/wiki/Rafael_Nadal,cooccurrence
Albert Montañés,PERSON,Player,playedAgainst,Albert Portas,PERSON,Player,"In October, Nadal defeated No. 76 Albert Montañés in the quarterfinals of a Challenger at Barcelona,[16] before losing to Albert Portas in the semi-finals.[45]",https://en.wikipedia.org/wiki/Rafael_Nadal,dependency
Alcaraz,PERSON,Player,participatedIn,French Open,ORG,Tournament,"In September 2020, aged 17, Alcaraz played his first qualifying round at a major tournament at the postponed French Open.",https://en.wikipedia.org/wiki/Carlos_Alcaraz,cooccurrence
Alcaraz,PERSON,Player,participatedIn,Grand Slam,ORG,Tournament,"In doing so, Alcaraz also broke Nadal's record for the number of majors competed in before achieving the Career Grand Slam; Nadal took 20 campaigns, while Alcaraz took 12.[563]",https://en.wikipedia.org/wiki/Rafael_Nadal,cooccurrence
Alcaraz,PERSON,Player,playedAgainst,Alex de Minaur,PERSON,Player,"At the Queen's Club, Alcaraz claimed his first title on grass in just his third Tour-level grass tournament, beating Alex de Minaur in the final.",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alcaraz,PERSON,Player,playedAgainst,Alexander Zverev,PERSON,Player,Alcaraz defeated Alexander Zverev in another five-setter to claim his first Roland Garros title.,https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alcaraz,PERSON,Player,playedAgainst,Botic van de Zandschulp,PERSON,Player,"In his first main draw match at the Australian Open, Alcaraz defeated fellow qualifier Botic van de Zandschulp in straight sets.",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alcaraz,PERSON,Player,playedAgainst,Cameron Norrie,PERSON,Player,"At Indian Wells, Alcaraz defeated defending champion Cameron Norrie to reach his first Masters quarterfinal and semifinal, which he lost to Rafael Nadal.[78]",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alcaraz,PERSON,Player,playedAgainst,Casper Ruud,PERSON,Player,"Two weeks later, at the Miami Open, Alcaraz defeated Casper Ruud to win his first Masters title.",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alcaraz,PERSON,Player,playedAgainst,Djokovic,PERSON,Player,"The duo soon met for a rematch in the 2023 Wimbledon final, in which Alcaraz defeated four-time defending champion Djokovic in an epic five-setter that lasted 4 hours and 42 minutes.[255]",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alcaraz,PERSON,Player,playedAgainst,Djokovic,PERSON,Player,"They would meet again soon after in the 2023 Wimbledon final, in which Alcaraz defeated Djokovic in an epic five-setter that lasted 4 hours and 42 minutes, ending his hopes for the calendar Grand Slam and his decade-long, record 45-match Centre Court win streak.[370]",https://en.wikipedia.org/wiki/Novak_Djokovic,dependency
Alcaraz,PERSON,Player,playedAgainst,Facundo Bagnis,PERSON,Player,"Alcaraz entered the Challenger Oeiras III as an unseeded player, and defeated Facundo Bagnis in the final to claim the fourth Challenger title of his career.[54][55]",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alcaraz,PERSON,Player,playedAgainst,Félix Auger-Aliassime,PERSON,Player,"Alcaraz defeated Félix Auger-Aliassime in the semifinal, making only three unforced errors in the first set.",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alcaraz,PERSON,Player,playedAgainst,Holger Rune,PERSON,Player,"Alcaraz comfortably reached the final of the Barcelona Open, where he lost to Holger Rune.",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alcaraz,PERSON,Player,playedAgainst,Jack Draper,PERSON,Player,"As the two-time defending champion at Indian Wells, Alcaraz lost to Jack Draper in the semifinals despite bagelling him in the second set.",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alcaraz,PERSON,Player,playedAgainst,Jan-Lennard Struff,PERSON,Player,"Alcaraz easily qualified for the French Open and reached the third round, where he was defeated by Jan-Lennard Struff.",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alcaraz,PERSON,Player,playedAgainst,Jannik Sinner,PERSON,Player,"At Wimbledon, Alcaraz lost to Jannik Sinner in the fourth round.[97]",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alcaraz,PERSON,Player,playedAgainst,Jannik Sinner,PERSON,Player,Alcaraz defeated world No. 1 Jannik Sinner to claim his first Italian Open title.,https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alcaraz,PERSON,Player,playedAgainst,Jiří Lehečka,PERSON,Player,"Alcaraz defeated Jiří Lehečka in the final to claim his third consecutive title, and fifth title of the season.[208]",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alcaraz,PERSON,Player,playedAgainst,Marin Čilić,PERSON,Player,"In the fourth round, Alcaraz defeated former champion Marin Čilić in five sets, and became the youngest man to reach back-to-back US Open quarterfinals in the Open Era.[105] In the quarterfinal",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alcaraz,PERSON,Player,playedAgainst,Mikael Ymer,PERSON,Player,"In the second round, Alcaraz was defeated by Mikael Ymer.",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alcaraz,PERSON,Player,playedAgainst,Murray,PERSON,Player,"At the Vienna Open two weeks later, Alcaraz met Murray for a rematch and defeated him.[68]",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alcaraz,PERSON,Player,playedAgainst,Pablo Carreño Busta,PERSON,Player,Alcaraz defeated Pablo Carreño Busta to win the Barcelona title.[85],https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alcaraz,PERSON,Player,playedAgainst,Rafael Nadal,PERSON,Player,"The day after his 19th birthday, Alcaraz defeated five-time champion, world No. 4 and third seed Rafael Nadal in the quarterfinals of the Madrid Open.[86]",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alcaraz,PERSON,Player,playedAgainst,Rafael Nadal,PERSON,Player,"Alcaraz made appearances in both seasons of Netflix's Break Point docuseries,[319] and played against Rafael Nadal in The Netflix Slam, a live-streamed tennis match hosted by MGM Resorts International on March 3, 2024.[320]",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alcaraz,PERSON,Player,playedAgainst,Rafael Nadal.[78,PERSON,Player,"At Indian Wells, Alcaraz defeated defending champion Cameron Norrie to reach his first Masters quarterfinal and semifinal, which he lost to Rafael Nadal.[78]",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alcaraz,PERSON,Player,playedAgainst,Ramos Viñolas,PERSON,Player,"""Alcaraz survives match point to beat Ramos Viñolas in marathon"".",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alcaraz,PERSON,Player,playedAgainst,Sinner,PERSON,Player,"""Alcaraz fights back to beat Sinner in all-time classic French Open men's final – as it happened"".",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alcaraz,PERSON,Player,playedAgainst,Stefanos Tsitsipas,PERSON,Player,"In the third round of the US Open, Alcaraz defeated world No. 3 Stefanos Tsitsipas in a dramatic fifth-set tiebreak on Arthur Ashe Stadium.[63]",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alcaraz,PERSON,Player,playedAgainst,Stefanos Tsitsipas,PERSON,Player,Alcaraz beat top seed Stefanos Tsitsipas in the quarterfinals of the Barcelona Open to enter the world top 10 for the first time on 25 April 2022.[81][82],https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alcaraz,PERSON,Player,playedAgainst,Thiago Monteiro.[46,PERSON,Player,"As the main draw was postponed due to the COVID-19 pandemic, Alcaraz played the Great Ocean Road Open in early February, where he was defeated by Thiago Monteiro.[46]",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
